sale_id,order_date,customer_id,product_id,quantity,discount,region_id,channel,promo_code
1,18/07/2018,2406,498,2,0,9,Retail,
2,18/08/2023,3769,236,5,0,6,Retail,
3,11/04/2023,1101,264,4,0,9,Retail,
4,16/11/2022,2831,407,2,0,3,Online,
5,15/03/2020,1549,167,1,0,6,Online,SUMMER23
6,29/05/2023,3133,432,4,0,8,Retail,WELCOME
7,23/11/2018,478,10,4,0.05,3,Retail,
8,10/09/2022,2670,370,4,0.1,5,Online,
9,06/06/2022,2520,154,2,0,3,Online,SUMMER23
10,06/07/2022,1038,244,2,0,4,Online,
11,19/04/2022,4753,297,3,0,2,Online,
12,21/04/2024,744,75,2,0.05,7,Retail,
13,16/11/2020,830,459,3,0,3,Online,SUMMER23
14,18/07/2020,4916,105,5,0,5,Online,WELCOME
15,14/06/2019,4379,162,2,0,6,Retail,
16,22/12/2024,40,346,2,0,9,Online,
17,10/06/2021,35,146,2,0,4,Online,WINTER24
18,20/11/2021,95,238,6,0.05,10,Online,
19,29/06/2023,3771,290,1,0,3,Retail,
20,23/08/2021,4065,64,6,0,9,Online,SUMMER23
21,28/02/2019,4107,133,4,0.15,3,Partner,WELCOME
22,30/05/2018,2811,462,2,0.05,1,Online,SUMMER23
23,22/02/2022,250,237,4,0,9,Online,
24,06/12/2020,866,280,2,0,1,Online,
25,17/06/2024,381,83,5,0,2,Partner,
26,19/05/2018,3881,393,1,0,7,Retail,
27,14/02/2023,3744,369,2,0,3,Online,WINTER24
28,24/08/2023,4957,197,3,0.05,6,Online,SUMMER23
29,19/06/2023,2949,248,2,0,7,Retail,
30,07/11/2022,4722,222,5,0,9,Retail,WINTER24
31,29/03/2023,4555,146,6,0,6,Retail,
32,23/03/2022,251,118,3,0,7,Partner,
33,24/04/2022,1862,275,1,0,4,Online,
34,04/07/2018,2971,137,5,0,6,Online,
35,12/02/2021,3765,167,2,0,3,Online,
36,28/11/2023,4656,59,3,0,3,Online,
37,20/05/2022,1491,409,3,0.15,10,Online,WELCOME
38,13/01/2020,58,86,2,0,3,Retail,WINTER24
39,17/05/2024,2349,413,5,0,8,Online,
40,27/03/2018,3228,489,2,0,1,Online,
41,18/05/2018,4252,338,6,0.1,8,Online,
42,18/03/2018,2811,95,2,0,2,Online,
43,15/06/2023,195,462,2,0,10,Online,
44,06/03/2021,3025,170,2,0.15,4,Online,
45,15/02/2020,930,242,2,0,3,Online,
46,13/10/2020,4652,404,2,0.05,1,Retail,
47,07/04/2018,3404,485,3,0,7,Online,
48,21/09/2020,1753,234,2,0,3,Online,WINTER24
49,04/04/2022,3349,383,2,0,3,Retail,
50,29/10/2020,1426,297,2,0,2,Online,WINTER24
51,24/03/2018,4132,226,2,0,10,Partner,
52,26/09/2023,2630,8,4,0.1,1,Online,
53,16/03/2022,468,245,4,0,3,Online,
54,06/03/2019,4789,272,4,0,4,Partner,
55,18/01/2021,4863,201,2,0,10,Online,
56,28/05/2019,3552,357,1,0,6,Retail,SUMMER23
57,07/04/2023,1492,365,5,0,7,Online,WINTER24
58,25/08/2022,3699,28,3,0,1,Online,
59,16/08/2022,127,242,2,0.05,8,Online,
60,30/03/2023,4089,456,3,0,10,Online,
61,20/10/2019,2772,113,1,0,6,Online,
62,09/10/2019,4616,451,2,0,2,Online,
63,08/03/2020,4352,212,4,0.1,6,Online,WELCOME
64,18/03/2018,816,238,4,0,1,,
65,30/10/2023,4503,458,3,0.1,2,Online,SUMMER23
66,10/12/2022,1537,263,6,0,7,Retail,
67,12/01/2020,2,364,1,0,9,Online,WELCOME
68,10/05/2021,3658,227,3,0,5,Retail,SUMMER23
69,10/01/2022,4389,174,3,0,2,Online,
